ventureid,irr_monthly
GD001,1.2066221
GD003,18.856958
GD013,-18.69598
GD014,11.350967
GD015,.12006602
GD016,-3.6572247
GD017,17.180815
GD018,14.43532
GD019,-.4789454
GD020,10.690623
GD021,13.488414
GD022,-9.1886635
GD023,46.614174
GD025,-8.6378765
GD026,-31.04373
GD027,-1.3120432
GD029,-14.427578
GD033,-18.993267
GD034,-44.582954
GD035,-4.3507514
GD036,11.350967
GD037,-14.739143
GD038,-99.900726
GD039,5.9145236
GD040,-1.1257661e-10
GD041,-21.239578
GD042,31.065575
GD043,35.278248
GD044,-33.561123
GD045,11.086397
GD046,-5.3824635
