YEARAF,Africa,America
1656,,
1657,,
1658,,
1659,,
1660,,
1661,,
1662,,
1663,3.44,
1664,4.06,
1665,3.63,
1666,,
1667,,
1668,,
1669,,
1670,,
1671,,
1672,,
1673,,20.51
1674,3.46,19.856912568306
1675,3.97,22.335666023166
1676,2.67,19.3711512605042
1677,3.04,18.8866369993643
1678,2.31,17.9363796133568
1679,2.65,16.4973729863693
1680,2.54,18.1070844212359
1681,2.96,15.9291366184379
1682,3.27,16.6561084624553
1683,3.78,16.0146405228758
1684,,16.4381082214765
1685,3.41,19.5711086956522
1686,3.21,18.7035310920677
1687,3.1,16.7462440191388
1688,3.1,17.8504120879121
1689,3.49,19.2321821631879
1690,,23.1713513513513
1691,4.15,19.5623731587561
1692,,18.9337579617834
1693,4.22,20.538520761659
1694,4.16,19.7923831506059
1695,,24.1982377919321
1696,4.9,29.25
1697,4.62,22.5671173469388
1698,5.45,20.7670827489481
1699,5.8,23.1841910631741
1700,6.1,23.53473727422
1701,4.1,22.1127748132337
1702,3.6,20.3280679301009
1703,5.9,25.3943982895541
1704,5.2,28.2694020697585
1705,5.3,26.2531779516842
1706,4.1,24.9420589548906
1707,5.8,21.7082049418605
1708,6.8,25.1703460620525
1709,5.4,26.12388996139
1710,6.8,22.5189306930693
1711,5.6,25.55
1712,2.4,
1713,5.8,
1714,4,22.9342741935484
1715,2.1,21.95
1716,5,18.4491060985798
1717,5.9,
1718,3.6,
1719,4.5,15.8993167701863
1720,5.2,
1721,5.4,27.7125292397661
1722,6.9,
1723,5.4,22.5238427787934
1724,6.5,27.6444727891156
1725,6,25.6964658634538
1726,5.7,
1727,5.2,46.19
1728,6.8,
1729,6.8,29.1761266167461
1730,6.2,23.0918699902903
1731,6.1,
1732,4.9,22.3354125412541
1733,3.1,
1734,2.4,
1735,3.7,21.5754104477612
1736,4.3,21.12
1737,5.1,32.9158483935743
1738,5.7,32.4803131524008
1739,5.5,36.8544104803493
1740,2.5,42.3844535519126
1741,5,33.1606666666667
1742,4.7,34.5714633027523
1743,7.2,30.4399020674646
1744,4.8,22.8075838926175
1745,5.1,24.3621755027422
1746,5.1,21.36
1747,9.1,
1748,7.3,37.378095623987
1749,6.5,19.3086854460094
1750,5.5,33.9917258883249
1751,5.9,
1752,6.8,32.7248550185874
1753,7,28.9536772122879
1754,6.1,34.1040177580466
1755,5.6,31.1349730276467
1756,5.9,35.272297979798
1757,6.9,31.8696015002344
1758,4.8,27.4023701298701
1759,6.6,24.3136998514116
1760,7.6,27.2894607843137
1761,8.6,28.4159782608696
1762,7.2,34.0647640966628
1763,9.6,36.4993808312129
1764,9.4,33.9800303336704
1765,9.8,35.3003647416413
1766,11.4,40.7667641060503
1767,11.6,35.981270718232
1768,13.5,38.331916495551
1769,13.6,42.9503009404389
1770,11.3,41.3149560632689
1771,12.4,40.6008481948673
1772,16.5,39.5273729895328
1773,13.6,46.7107389749702
1774,17,46.8408728710462
1775,16.9,48.0242043026072
1776,13.7,40.8387111190561
1777,15.1,34.7105611940299
1778,6.6,45.5867472627737
1779,16.8,31.721897689769
1780,10.2,40.4039969834088
1781,13.4,37.6881494661922
1782,14.2,39.3
1783,18.1,45.9559047619048
1784,12,48.2820902612827
1785,14.6,64.2250831688751
1786,17.3,62.725944092827
1787,15.9,59.190772073922
1788,18.5,56.4060655307995
1789,18.9,58.2640105898288
1790,22.4,60.3319022651007
1791,17.5,59.6419482021043
1792,20,62.7479114642452
1793,12.3,56.5627058823529
1794,15.7,50.8028971962617
1795,15.5,50.88298791019
1796,23.2,58.51
1797,23.5,69.5173629782834
1798,20.9,75.2627857142857
1799,28.7,78.3724753559693
1800,33.2,80.67
1801,27.5,
1802,26.2,85.47
1803,31,66.9
1804,29.8,73.422268907563
1805,34.7,77.7884217252396
1806,41.1,79.5115529672768
1807,29.3,84.0588743645606
