="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="388",=".1396671",="",=".4476613",="-1",="3.289092"
="VOYAGEID",="0",=".",="",=".",=".",="."
="nationality_num",="388",="2.930412",="",=".7827618",="1",="5"
="SLAXIMP",="337",="294.5935",="",="124.0359",="46",="980"
="YEARAF",="388",="1772.351",="",="17.11342",="1730",="1830"
="totalnetexp_silver_ship",="388",="779157.3",="",="477997.6",="61314.8",="3492068"
="investment_per_slave",="337",="2754.529",="",="1384.427",="456.436",="13724.96"
="war",="388",=".2113402",="",=".4087863",="0",="1"
="neutral",="388",=".2757732",="",=".4474801",="0",="1"
="pricemarkup",="370",="3.609527",="",="1.076864",="1.888208",="9.09531"
="OUTFITTER_experience_d",="360",=".8777778",="",=".3279982",="0",="1"
="captain_experience_d",="349",=".6991404",="",=".4592903",="0",="1"
="TONMOD",="298",="233.0255",="",="98.9491",="44",="501"
="ln_SLAXIMP",="337",="5.593679",="",=".4481487",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="388",="13.40607",="",=".5713664",="11.02378",="15.066"
="MORTALITY",="336",=".1229358",="",=".0811873",="-.1206897",=".5677966"
="crowd",="295",="1.344137",="",=".5955953",=".1691176",="3.191297"
="N",="388",="",="",="",="",=""
